,"Online Data Table 6: CZ-level life expectancy estimates for men and women, by income quartile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Female Life Expectancy by Income Quartile,,,,,,,,,Male Life Expectancy by Income Quartile,,,,,,,,,Standard Error of Female Life Expectancy by Income Quartile,,,,,,,,,Standard Error of Male Life Expectancy by Income Quartile,,,,,,,,,Counts,,,,,,,,
,Commuting ,Commuting,Commuting Zone,State,State,State,,"Race-Adjusted,","Unadjusted,","Race-Adjusted,","Unadjusted,","Race-Adjusted,","Unadjusted,","Race-Adjusted,","Unadjusted,",,"Race-Adjusted,","Unadjusted,","Race-Adjusted,","Unadjusted,","Race-Adjusted,","Unadjusted,","Race-Adjusted,","Unadjusted,",,"Race-Adjusted,","Unadjusted,","Race-Adjusted,","Unadjusted,","Race-Adjusted,","Unadjusted,","Race-Adjusted,","Unadjusted,",,"Race-Adjusted,","Unadjusted,","Race-Adjusted,","Unadjusted,","Race-Adjusted,","Unadjusted,","Race-Adjusted,","Unadjusted,",,Females,,,,,Males,,,
,Zone ID,Zone Name,Population in 2000,FIPS,Name,Abbreviation,,Q1,Q1,Q2,Q2,Q3,Q3,Q4,Q4,,Q1,Q1,Q2,Q2,Q3,Q3,Q4,Q4,,Q1,Q1,Q2,Q2,Q3,Q3,Q4,Q4,,Q1,Q1,Q2,Q2,Q3,Q3,Q4,Q4,,Q1,Q2,Q3,Q4,,Q1,Q2,Q3,Q4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rownum,cz,czname,pop2000,fips,statename,stateabbrv,,le_raceadj_q1_F,le_agg_q1_F,le_raceadj_q2_F,le_agg_q2_F,le_raceadj_q3_F,le_agg_q3_F,le_raceadj_q4_F,le_agg_q4_F,,le_raceadj_q1_M,le_agg_q1_M,le_raceadj_q2_M,le_agg_q2_M,le_raceadj_q3_M,le_agg_q3_M,le_raceadj_q4_M,le_agg_q4_M,,sd_le_raceadj_q1_F,sd_le_agg_q1_F,sd_le_raceadj_q2_F,sd_le_agg_q2_F,sd_le_raceadj_q3_F,sd_le_agg_q3_F,sd_le_raceadj_q4_F,sd_le_agg_q4_F,,sd_le_raceadj_q1_M,sd_le_agg_q1_M,sd_le_raceadj_q2_M,sd_le_agg_q2_M,sd_le_raceadj_q3_M,sd_le_agg_q3_M,sd_le_raceadj_q4_M,sd_le_agg_q4_M,,count_q1_F,count_q2_F,count_q3_F,count_q4_F,,count_q1_M,count_q2_M,count_q3_M,count_q4_M
2,100,Johnson City,"576,081",47,Tennessee,TN,,82.24,81.8,84.42,84.03,86.65,86.32,88.09,87.83,,75.97,75.48,80.7,80.27,83.38,83.01,84.76,84.41,,0.22,0.22,0.27,0.27,0.32,0.33,0.41,0.43,,0.18,0.17,0.22,0.21,0.28,0.28,0.43,0.45,,"469,268","448,883","364,376","202,619",,"446,528","456,216","341,333","187,282"
3,200,Morristown,"227,816",47,Tennessee,TN,,81.76,81.33,84.34,83.96,85.25,84.87,88.29,88.11,,75.42,74.96,80.55,80.14,82.47,82.09,84.47,84.14,,0.32,0.33,0.39,0.4,0.51,0.53,0.59,0.61,,0.26,0.26,0.33,0.32,0.44,0.46,0.71,0.73,,"233,428","199,116","151,926","72,675",,"215,500","202,248","142,344","66,137"
4,301,Middlesborough,"66,708",47,Tennessee,TN,,82.89,82.44,85.95,85.68,86.09,85.75,86.48,86.43,,76.1,75.58,81.11,80.75,83.54,83.15,86.92,86.84,,0.64,0.67,0.85,0.89,1.2,1.26,1.89,1.93,,0.49,0.49,0.72,0.74,1.17,1.21,1.77,1.82,,"59,222","42,529","25,973","9,897",,"59,211","43,418","24,552","9,062"
5,302,Knoxville,"727,600",47,Tennessee,TN,,81.41,80.88,84.12,83.72,86.08,85.7,88.53,88.33,,75.09,74.51,79.98,79.54,83.54,83.13,85.73,85.45,,0.22,0.22,0.24,0.25,0.28,0.29,0.28,0.29,,0.19,0.18,0.22,0.21,0.26,0.26,0.28,0.29,,"505,662","511,618","487,133","419,858",,"466,740","485,002","472,548","397,129"
6,401,Winston-Salem,"493,180",37,North Carolina,NC,,82.03,81.29,84.75,84.22,86.11,85.67,87.21,86.87,,75.91,75.13,80.33,79.74,82.83,82.34,85.95,85.62,,0.27,0.28,0.29,0.29,0.31,0.32,0.41,0.43,,0.23,0.22,0.26,0.26,0.31,0.32,0.36,0.37,,"353,513","380,424","373,239","303,196",,"316,688","345,396","347,951","281,565"
7,402,Martinsville,"92,753",51,Virginia,VA,,83.16,82.3,85.64,85.15,86.7,86.13,85.71,85.24,,75.74,74.69,82.68,82.14,83.08,82.43,83.73,83.24,,0.51,0.53,0.55,0.58,0.77,0.82,1.32,1.38,,0.4,0.4,0.52,0.53,0.66,0.68,1.14,1.17,,"89,396","74,119","52,717","22,792",,"82,853","72,945","47,929","20,207"
8,500,Greensboro,"1,055,133",37,North Carolina,NC,,82.37,81.49,84.74,84.17,86.27,85.82,87.97,87.68,,76.11,75.15,79.78,79.14,82.91,82.42,85.39,85.04,,0.2,0.2,0.21,0.21,0.23,0.24,0.28,0.29,,0.17,0.15,0.19,0.19,0.23,0.23,0.29,0.29,,"775,588","764,372","699,105","524,033",,"695,228","721,452","660,778","485,007"
9,601,North Wilkesboro,"90,016",37,North Carolina,NC,,83.71,83.36,85.09,84.69,86.92,86.64,87.04,86.65,,77.24,76.81,80.95,80.49,82.74,82.34,84.52,84.15,,0.5,0.52,0.64,0.67,0.85,0.89,1.21,1.28,,0.44,0.44,0.59,0.6,0.81,0.84,0.98,1.02,,"79,038","72,700","51,842","27,287",,"79,581","73,665","47,086","24,426"
10,602,Galax,"64,676",51,Virginia,VA,,82.63,82.2,85.24,84.88,87.88,87.64,89.37,89.19,,77.78,77.35,80.55,80.11,83.57,83.18,85.33,84.98,,0.6,0.63,0.74,0.78,0.84,0.88,1.02,1.08,,0.51,0.52,0.64,0.66,0.97,1,1.42,1.49,,"55,199","49,665","34,643","12,547",,"56,077","52,031","30,865","10,837"
11,700,Spartanburg,"354,533",45,South Carolina,SC,,82.26,81.38,84.5,83.92,85.89,85.5,88.34,88.08,,74.69,73.71,79.84,79.19,82.21,81.77,84.62,84.27,,0.3,0.3,0.34,0.35,0.4,0.42,0.47,0.49,,0.24,0.23,0.29,0.3,0.38,0.39,0.51,0.52,,"276,821","250,094","215,516","143,106",,"246,079","252,571","207,870","132,603"
12,800,Gastonia,"413,331",37,North Carolina,NC,,81.25,80.42,84.17,83.72,85.77,85.42,87.67,87.33,,75.02,74.15,79.4,78.92,81.65,81.23,84.95,84.57,,0.29,0.3,0.31,0.32,0.38,0.39,0.47,0.49,,0.22,0.21,0.27,0.27,0.34,0.34,0.44,0.45,,"320,964","311,054","285,278","177,507",,"285,392","318,219","278,434","164,277"
13,900,Charlotte,"1,423,942",37,North Carolina,NC,,82.33,81.44,84.71,84.2,86.08,85.73,87.8,87.55,,76.24,75.27,79.91,79.33,82.74,82.33,85.27,84.96,,0.18,0.18,0.2,0.2,0.21,0.22,0.22,0.23,,0.16,0.14,0.18,0.18,0.19,0.19,0.21,0.21,,"998,780","1,026,849","993,688","1,071,960",,"884,986","937,699","951,334","1,059,020"
14,1001,Boone,"77,361",37,North Carolina,NC,,83.42,83.08,85.38,85.06,88.48,88.22,87.92,87.55,,77.95,77.53,82.78,82.43,85.61,85.33,85.77,85.42,,0.61,0.64,0.79,0.82,0.8,0.85,1.24,1.32,,0.55,0.55,0.65,0.67,0.79,0.82,1.07,1.11,,"54,926","52,327","41,336","28,704",,"55,970","50,754","36,315","25,706"
15,1002,Morganton,"164,760",37,North Carolina,NC,,82.07,81.62,84.49,84.08,86.47,86.1,87.65,87.35,,75.96,75.48,80.27,79.8,83.12,82.73,85.11,84.78,,0.45,0.46,0.5,0.52,0.66,0.69,0.9,0.95,,0.34,0.33,0.41,0.42,0.53,0.55,0.82,0.86,,"125,186","129,283","99,729","41,398",,"122,674","128,692","91,671","36,166"
16,1100,Hickory,"375,363",37,North Carolina,NC,,81.29,80.65,83.85,83.46,86.03,85.66,87.95,87.62,,75.4,74.73,80.06,79.63,81.74,81.29,85.15,84.76,,0.31,0.31,0.33,0.34,0.38,0.39,0.43,0.45,,0.23,0.23,0.28,0.28,0.35,0.35,0.47,0.49,,"284,972","299,912","280,917","196,422",,"267,425","308,291","271,392","186,541"
17,1201,Franklin,"44,861",37,North Carolina,NC,,83.81,83.56,85.91,85.58,87.89,87.65,87.41,87.11,,77.62,77.23,81.99,81.59,83.52,83.15,84.87,84.62,,0.65,0.68,0.76,0.8,0.87,0.91,1.58,1.65,,0.59,0.6,0.74,0.76,1.09,1.12,1.17,1.2,,"42,493","37,310","28,282","17,739",,"39,144","35,397","23,745","14,857"
18,1202,Sylva,"54,082",37,North Carolina,NC,,81.53,81.08,85.64,85.29,87.17,86.87,88.23,88.03,,75.51,75.06,80.77,80.35,82.75,82.37,83.9,83.63,,0.67,0.69,0.79,0.83,0.97,1.02,1.28,1.34,,0.53,0.53,0.72,0.74,0.96,0.99,1.23,1.27,,"47,630","42,906","31,354","17,544",,"44,373","39,884","27,714","14,767"
